,Keyword,prod_Name,prod_Id,prod_url,image,priceShow,originalPrice,discount
0,lego 42121,LEGO 42121 Technic Heavy-Duty Excavator,1634189381,//www.lazada.sg/products/lego-42121-technic-heavy-duty-excavator-i1634189381-s7687639812.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/ae027730d5fb6dd307bb87f5bbd3becd.png,$58.50,$64.90,-10%
1,lego 42121,Lego Technic 42121 Heavy-Duty Excavator,1639759977,//www.lazada.sg/products/lego-technic-42121-heavy-duty-excavator-i1639759977-s7706663527.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/c91e18d3a691dc9009cc63f3e573ffa8.jpg,$57.81,$64.90,-11%
2,lego 42121,Lego 42121 Technic Heavy-Duty Excavator,1643889937,//www.lazada.sg/products/lego-42121-technic-heavy-duty-excavator-i1643889937-s7721303210.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/3c7c53bcc0fca767b9a9e05a627c3a7a.png,$56.40,$64.90,-13%
3,lego 42121,LEGO Technic Heavy-Duty Excavator 42121,1642548125,//www.lazada.sg/products/lego-technic-heavy-duty-excavator-42121-i1642548125-s7715957809.html?search=1,https://sg-test-11.slatic.net/p/34b48cfc1df6a1d16cb6adfa75db37e7.png,$58.40,0,0
4,lego 42121,LEGO Technic 42121 Heavy-Duty Excavator for Kids,1649154992,//www.lazada.sg/products/lego-technic-42121-heavy-duty-excavator-for-kids-i1649154992-s7766324459.html?search=1,https://sg-test-11.slatic.net/p/a3937c0f814bb50e75e1f62165aa7cb3.jpg,$64.90,0,0
5,lego 42121,[Genuine] LEGO Technic 42121 Heavy-Duty Excavator Toys for Kids,1648143178,//www.lazada.sg/products/genuine-lego-technic-42121-heavy-duty-excavator-toys-for-kids-i1648143178-s7753094439.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/30a5f504b031ce92c4e8dc736d203150.jpg,$55.17,$77.88,-29%
6,lego 42121,LEGO Technic 42121 Heavy Duty Excavator,1637606151,//www.lazada.sg/products/lego-technic-42121-heavy-duty-excavator-i1637606151-s7699314140.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/6598c105bbab43da58252144c1023362.jpg,$58.41,$64.90,-10%
7,lego 42121,LEGO 42121 Technic: Heavy-Duty Excavator,1463302999,//www.lazada.sg/products/lego-42121-technic-heavy-duty-excavator-i1463302999-s6790218618.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/a566fcd59ef079f73df0a9b66e8a1913.jpg,$58.90,$64.90,-9%
8,lego 42121,LEGO Technic 42121 Heavy-Duty Excavator,1648018443,//www.lazada.sg/products/lego-technic-42121-heavy-duty-excavator-i1648018443-s7752601621.html?search=1,https://my-test-11.slatic.net/p/015b39a9f848a91d237130e0f48a0484.jpg,$70.50,$94.00,-25%
9,lego 42121,LEGO 42121 Technic - Heavy-Duty Excavator,1676505708,//www.lazada.sg/products/lego-42121-technic-heavy-duty-excavator-i1676505708-s8097207269.html?search=1,https://my-test-11.slatic.net/p/bb4d5509fe928c2148d514e4248c9d83.jpg,$75.50,$100.00,-25%
10,lego 42121,LEGO® Technic 42121 Heavy Duty Excavator (569 pieces),1616564192,//www.lazada.sg/products/lego-technic-42121-heavy-duty-excavator-569-pieces-i1616564192-s7601825934.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/5cddb280444b425b9cd94beaedfd2c8d.jpg,$51.92,$64.90,-20%
11,lego 76160,LEGO Mobile Bat Base 76160,1330544502,//www.lazada.sg/products/lego-mobile-bat-base-76160-i1330544502-s5575094737.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/69c11a2a7bf65fc8aa6161176e91490b.jpg,$159.90,0,0
12,lego 76160,LEGO 76160 Super Heroes DC: Batman Mobile Bat Base,815276534,//www.lazada.sg/products/lego-76160-super-heroes-dc-batman-mobile-bat-base-i815276534-s2720496128.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/53a35ff837c464e622168da6faf7055f.png,$143.90,$159.90,-10%
13,lego 76160,LEGO DC Superheroes 76160 Mobile Bat Base,806454741,//www.lazada.sg/products/lego-dc-superheroes-76160-mobile-bat-base-i806454741-s2669518931.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/2b4b8c5a1637cff211a9d06fe94c47dd.jpg,$143.91,$159.90,-10%
14,lego 76160,LEGO 76160 DC Batman Mobile Bat Base,850752309,//www.lazada.sg/products/lego-76160-dc-batman-mobile-bat-base-i850752309-s2909626662.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/2ca108fe8f8b190bd15e5efb238c48b0.jpg,$143.90,$159.90,-10%
